Time (UTC),Open,High,Low,Close,Volume 
2024.01.19 00:00:00,1.07543,1.07566,1.07519,1.07557,3541.66
2024.01.19 01:00:00,1.07559,1.07676,1.07558,1.07674,5044.69
2024.01.19 02:00:00,1.07671,1.07785,1.07656,1.07774,3986.34
2024.01.19 03:00:00,1.07773,1.07838,1.07765,1.07836,2778.06
2024.01.19 04:00:00,1.07843,1.07865,1.07816,1.07847,1733.18
2024.01.19 05:00:00,1.07847,1.07878,1.07799,1.07834,3410.24
2024.01.19 06:00:00,1.07835,1.07874,1.0779,1.07827,3822.41
2024.01.19 07:00:00,1.07825,1.07875,1.07788,1.07798,5873.81
2024.01.19 08:00:00,1.078,1.07834,1.07726,1.07828,5500.55
2024.01.19 09:00:00,1.07828,1.07903,1.07806,1.07828,4925.35
2024.01.19 10:00:00,1.07827,1.07854,1.07762,1.07818,5466.32
2024.01.19 11:00:00,1.07819,1.07827,1.07778,1.07822,3685.86
2024.01.19 12:00:00,1.07823,1.07845,1.07802,1.07824,3072.43
2024.01.19 13:00:00,1.07824,1.07923,1.07819,1.07886,6758.62
2024.01.19 14:00:00,1.07886,1.07895,1.07798,1.07845,8196.84
2024.01.19 15:00:00,1.07838,1.07936,1.07785,1.07929,13215.29
2024.01.19 16:00:00,1.0793,1.07937,1.07843,1.0785,8323.23
2024.01.19 17:00:00,1.07851,1.07905,1.07845,1.07884,6629.41
2024.01.19 18:00:00,1.07884,1.07938,1.07881,1.079,4142.96
2024.01.19 19:00:00,1.07901,1.07923,1.07881,1.07905,4693.41
2024.01.19 20:00:00,1.07907,1.07926,1.07884,1.07916,4709.11
2024.01.19 21:00:00,1.07914,1.07917,1.0784,1.0784,2136.36
2024.01.21 22:00:00,1.07765,1.07861,1.07662,1.07811,1208.34
2024.01.21 23:00:00,1.07832,1.07891,1.07754,1.07795,2663.62
2024.01.22 00:00:00,1.07794,1.07834,1.07741,1.07767,3865.97
2024.01.22 01:00:00,1.07767,1.07786,1.07687,1.07776,5692.52
2024.01.22 02:00:00,1.07777,1.07777,1.07677,1.0769,4203.23
2024.01.22 03:00:00,1.0769,1.07754,1.07664,1.07701,4467.69
2024.01.22 04:00:00,1.07699,1.07833,1.07695,1.07823,2514.77
2024.01.22 05:00:00,1.07823,1.07847,1.07789,1.07822,4128.24
2024.01.22 06:00:00,1.07817,1.07894,1.07789,1.07871,5311.48
2024.01.22 07:00:00,1.07875,1.07914,1.07827,1.07906,4980.19
2024.01.22 08:00:00,1.07904,1.07934,1.07852,1.07884,6310.88
2024.01.22 09:00:00,1.07883,1.07895,1.07837,1.07841,3873.07
2024.01.22 10:00:00,1.07842,1.07847,1.07684,1.07701,3929.93
2024.01.22 11:00:00,1.07704,1.07754,1.07701,1.07747,3062.5
2024.01.22 12:00:00,1.07745,1.07762,1.0772,1.0774,3906.52
2024.01.22 13:00:00,1.07737,1.07765,1.07725,1.07748,5855.3
2024.01.22 14:00:00,1.07747,1.07801,1.07724,1.0779,6221.37
2024.01.22 15:00:00,1.0779,1.07947,1.0779,1.0794,8409.43
