Time (EET),Open,High,Low,Close,Volume 
2022.08.19 00:00:00,0.69128,0.69156,0.6907,0.69131,1068.63
2022.08.19 01:00:00,0.69132,0.69171,0.69109,0.69115,1796.38
2022.08.19 02:00:00,0.69117,0.69156,0.69101,0.69106,5239.88
2022.08.19 03:00:00,0.6911,0.69131,0.68968,0.69,10771.28
2022.08.19 04:00:00,0.69006,0.69037,0.68874,0.68974,9946.44
2022.08.19 05:00:00,0.68973,0.69186,0.68967,0.69172,7948.57
2022.08.19 06:00:00,0.69174,0.69184,0.69079,0.69138,5104.57
2022.08.19 07:00:00,0.6914,0.69154,0.69048,0.69081,4868.93
2022.08.19 08:00:00,0.69081,0.69148,0.69018,0.69138,6289.06
2022.08.19 09:00:00,0.69137,0.69191,0.69056,0.69093,10959.84
2022.08.19 10:00:00,0.69093,0.69155,0.6906,0.69098,12555.6
2022.08.19 11:00:00,0.69097,0.69138,0.68942,0.69085,11228.19
2022.08.19 12:00:00,0.69086,0.69146,0.69019,0.69037,6546.51
2022.08.19 13:00:00,0.69038,0.6904,0.68879,0.68887,7697.47
2022.08.19 14:00:00,0.68887,0.68917,0.68765,0.68896,11564.89
2022.08.19 15:00:00,0.68894,0.69075,0.68894,0.69055,12266.29
2022.08.19 16:00:00,0.69053,0.69068,0.68807,0.68817,15219.81
2022.08.19 17:00:00,0.68816,0.68886,0.68652,0.68672,13818.93
2022.08.19 18:00:00,0.68673,0.68758,0.68585,0.68681,9427.16
2022.08.19 19:00:00,0.68683,0.68783,0.6868,0.68759,5385.75
2022.08.19 20:00:00,0.68761,0.68813,0.68699,0.68791,4438.14
2022.08.19 21:00:00,0.68789,0.68789,0.6866,0.68661,4708.36
2022.08.19 22:00:00,0.68663,0.68754,0.68653,0.68751,5570.31
2022.08.19 23:00:00,0.68752,0.68786,0.68675,0.68712,3215.05
2022.08.22 00:00:00,0.6869,0.68738,0.68607,0.68723,187.2
2022.08.22 01:00:00,0.68723,0.68759,0.68672,0.68745,5727.98
2022.08.22 02:00:00,0.68744,0.68775,0.687,0.68763,4896.4
2022.08.22 03:00:00,0.68764,0.68838,0.68734,0.68757,9252.75
2022.08.22 04:00:00,0.68756,0.68868,0.68746,0.6885,11095.88
2022.08.22 05:00:00,0.6885,0.69057,0.6885,0.69054,9620.2
2022.08.22 06:00:00,0.69055,0.69056,0.68959,0.68998,6814.11
2022.08.22 07:00:00,0.68996,0.69028,0.68932,0.68988,5462.11
2022.08.22 08:00:00,0.68986,0.69034,0.68908,0.68908,6852.35
2022.08.22 09:00:00,0.68909,0.69026,0.68877,0.68947,13303.25
2022.08.22 10:00:00,0.68948,0.69039,0.68865,0.68877,11965.96
2022.08.22 11:00:00,0.68877,0.69098,0.68802,0.69079,12741.9
2022.08.22 12:00:00,0.6908,0.69194,0.68916,0.69163,9864.17
2022.08.22 13:00:00,0.69163,0.69283,0.69068,0.69079,8493.3
2022.08.22 14:00:00,0.69079,0.69128,0.69026,0.69088,8339.43
2022.08.22 15:00:00,0.69088,0.69121,0.69001,0.69043,10396.43
2022.08.22 16:00:00,0.69043,0.69079,0.68821,0.68825,14770.11
2022.08.22 17:00:00,0.68825,0.68837,0.68698,0.68727,16265.62
2022.08.22 18:00:00,0.68729,0.68782,0.68617,0.68697,10799.28
2022.08.22 19:00:00,0.68698,0.68867,0.68682,0.68765,6894.09
2022.08.22 20:00:00,0.68764,0.68766,0.68659,0.6866,3208.5
2022.08.22 21:00:00,0.6866,0.6872,0.6865,0.68702,3275.23
2022.08.22 22:00:00,0.687,0.68783,0.68695,0.68776,3754.65
2022.08.22 23:00:00,0.68776,0.6879,0.6875,0.6875,2327.96
2022.08.23 00:00:00,0.68753,0.68788,0.68713,0.68747,564.87
2022.08.23 01:00:00,0.6875,0.68845,0.68749,0.68833,5279.54
2022.08.23 02:00:00,0.68836,0.6884,0.68749,0.68775,6242.93
2022.08.23 03:00:00,0.68775,0.68926,0.68726,0.68863,11505.84
2022.08.23 04:00:00,0.68863,0.68981,0.68858,0.68929,10680.05
2022.08.23 05:00:00,0.68929,0.68978,0.68898,0.68956,7113.57
2022.08.23 06:00:00,0.68957,0.6899,0.68919,0.68976,6291.19
2022.08.23 07:00:00,0.68978,0.68983,0.68869,0.68869,4344.67
2022.08.23 08:00:00,0.68869,0.68888,0.68758,0.68772,8161.94
2022.08.23 09:00:00,0.6877,0.68774,0.68555,0.68648,14992.96
2022.08.23 10:00:00,0.68648,0.68854,0.68636,0.68811,20060.21
2022.08.23 11:00:00,0.68811,0.68942,0.6879,0.68835,13912.28
2022.08.23 12:00:00,0.68834,0.68855,0.68695,0.68808,6876.21
2022.08.23 13:00:00,0.68808,0.68838,0.68662,0.68752,5952
2022.08.23 14:00:00,0.68752,0.68806,0.68702,0.68754,8240.31
2022.08.23 15:00:00,0.68754,0.68776,0.68646,0.6873,11905.48
2022.08.23 16:00:00,0.6873,0.69179,0.68699,0.69141,20619.98
2022.08.23 17:00:00,0.69145,0.69508,0.69139,0.69444,34152.22
2022.08.23 18:00:00,0.69443,0.69628,0.69385,0.69413,19115.61
2022.08.23 19:00:00,0.69413,0.6943,0.69337,0.69408,4283.62
2022.08.23 20:00:00,0.69407,0.69441,0.69225,0.69229,7632.95
2022.08.23 21:00:00,0.6923,0.69287,0.69179,0.6918,5211.47
2022.08.23 22:00:00,0.69179,0.69294,0.69171,0.69289,5902.21
2022.08.23 23:00:00,0.69288,0.69312,0.69252,0.6928,2229.37
2022.08.24 00:00:00,0.69263,0.69308,0.69119,0.6927,1031.01
2022.08.24 01:00:00,0.6927,0.69304,0.6926,0.69302,4412.54
2022.08.24 02:00:00,0.69304,0.69304,0.69115,0.69205,8233.46
2022.08.24 03:00:00,0.69205,0.69243,0.69102,0.6913,8581.82
2022.08.24 04:00:00,0.6913,0.69201,0.68951,0.69047,9862.7
2022.08.24 05:00:00,0.69047,0.69134,0.68941,0.68962,8628.01
2022.08.24 06:00:00,0.68962,0.69029,0.68943,0.69011,6487.65
2022.08.24 07:00:00,0.69012,0.69149,0.68974,0.6912,6075.94
2022.08.24 08:00:00,0.6912,0.69165,0.69026,0.69037,5426.01
2022.08.24 09:00:00,0.69038,0.69107,0.68986,0.6908,8394.85
2022.08.24 10:00:00,0.6908,0.69224,0.69031,0.6922,10658.32
2022.08.24 11:00:00,0.6922,0.69266,0.69165,0.69216,8338.82
2022.08.24 12:00:00,0.69217,0.69283,0.6913,0.69148,7830.23
2022.08.24 13:00:00,0.69148,0.69176,0.68933,0.68952,7374.54
2022.08.24 14:00:00,0.68951,0.69045,0.68895,0.6897,9286.8
2022.08.24 15:00:00,0.68969,0.69066,0.68817,0.68883,18215.49
2022.08.24 16:00:00,0.68884,0.68904,0.68784,0.68866,15982.47
2022.08.24 17:00:00,0.68866,0.69167,0.688,0.69112,21791.58
2022.08.24 18:00:00,0.69113,0.69188,0.69033,0.69114,13923.86
2022.08.24 19:00:00,0.69115,0.6917,0.68983,0.69029,6320.36
2022.08.24 20:00:00,0.69028,0.69077,0.69007,0.69059,6265.85
2022.08.24 21:00:00,0.69064,0.69085,0.69029,0.69034,3286.28
2022.08.24 22:00:00,0.69033,0.69112,0.69024,0.69101,4618.1
2022.08.24 23:00:00,0.69101,0.69147,0.69051,0.69051,2258.11
2022.08.25 00:00:00,0.69068,0.69086,0.69028,0.69064,1465.27
2022.08.25 01:00:00,0.69064,0.6912,0.69044,0.69069,3039.96
2022.08.25 02:00:00,0.69069,0.6909,0.69048,0.69049,4348.18
2022.08.25 03:00:00,0.69049,0.69263,0.69017,0.69227,11566.51
2022.08.25 04:00:00,0.69226,0.69414,0.69174,0.6937,12222.88
2022.08.25 05:00:00,0.6937,0.69432,0.69316,0.69366,7388.4
2022.08.25 06:00:00,0.69365,0.69471,0.69364,0.69462,5027.16
2022.08.25 07:00:00,0.69461,0.6962,0.69425,0.69562,8443.51
2022.08.25 08:00:00,0.69563,0.69621,0.6948,0.69534,7660.88
2022.08.25 09:00:00,0.69535,0.69824,0.69523,0.69679,17764.66
2022.08.25 10:00:00,0.69676,0.69806,0.69662,0.69785,11289.46
2022.08.25 11:00:00,0.69783,0.69907,0.69717,0.69851,10046.3
2022.08.25 12:00:00,0.69851,0.69883,0.69742,0.6977,8648.77
2022.08.25 13:00:00,0.69772,0.6979,0.69691,0.69695,7803.36
2022.08.25 14:00:00,0.69695,0.69825,0.69677,0.69719,10205.14
2022.08.25 15:00:00,0.69718,0.6974,0.69581,0.6964,13851.25
2022.08.25 16:00:00,0.69644,0.69678,0.69499,0.69567,15143.74
2022.08.25 17:00:00,0.69566,0.69822,0.69566,0.69666,16378.31
2022.08.25 18:00:00,0.69666,0.69679,0.69575,0.69599,12033.69
2022.08.25 19:00:00,0.696,0.6969,0.69554,0.69689,7454.83
2022.08.25 20:00:00,0.69687,0.69788,0.69664,0.69759,7006.1
2022.08.25 21:00:00,0.6976,0.69799,0.69687,0.69772,5959.06
2022.08.25 22:00:00,0.6977,0.6979,0.69725,0.69788,5327.04
2022.08.25 23:00:00,0.69788,0.69812,0.69758,0.69801,2977.6
2022.08.26 00:00:00,0.69797,0.69798,0.6975,0.69792,586.8
2022.08.26 01:00:00,0.69791,0.69813,0.69713,0.69715,1853.26
2022.08.26 02:00:00,0.69715,0.69744,0.69611,0.69613,5940.78
2022.08.26 03:00:00,0.69614,0.69642,0.69523,0.69539,5820.88
2022.08.26 04:00:00,0.6954,0.69606,0.69526,0.69579,8995.22
