Time (UTC),Open,High,Low,Close,Volume 
2024.01.19 00:00:00,0.65813,0.65876,0.65798,0.6584,3443.47
2024.01.19 01:00:00,0.65841,0.65859,0.65758,0.65829,4693.92
2024.01.19 02:00:00,0.6583,0.65887,0.65748,0.65851,3201.2
2024.01.19 03:00:00,0.6585,0.65853,0.65803,0.65834,2411.7
2024.01.19 04:00:00,0.65833,0.65846,0.65769,0.65772,1757.66
2024.01.19 05:00:00,0.65772,0.65788,0.65679,0.65705,2508.76
2024.01.19 06:00:00,0.65705,0.6575,0.65647,0.65722,3524.87
2024.01.19 07:00:00,0.65723,0.65846,0.65707,0.65795,5742.1
2024.01.19 08:00:00,0.65796,0.65865,0.65739,0.65848,7233.01
2024.01.19 09:00:00,0.65848,0.65986,0.65842,0.65985,4013.48
2024.01.19 10:00:00,0.65984,0.66012,0.65916,0.65953,2691.51
2024.01.19 11:00:00,0.65954,0.65991,0.65918,0.65986,2977.91
2024.01.19 12:00:00,0.65987,0.65992,0.65925,0.65932,3294.58
2024.01.19 13:00:00,0.65934,0.66006,0.65875,0.65896,6937.39
2024.01.19 14:00:00,0.65897,0.65913,0.65735,0.65845,7257.53
2024.01.19 15:00:00,0.65847,0.65924,0.65703,0.65836,13332.02
2024.01.19 16:00:00,0.65837,0.65873,0.65755,0.65797,8477.77
2024.01.19 17:00:00,0.65798,0.65931,0.65766,0.65906,3952.46
2024.01.19 18:00:00,0.65905,0.65923,0.65855,0.65878,2705.17
2024.01.19 19:00:00,0.65877,0.6596,0.65877,0.65957,2436.32
2024.01.19 20:00:00,0.65958,0.65978,0.6594,0.65978,2301.74
2024.01.19 21:00:00,0.65975,0.65986,0.65934,0.65935,1351.76
2024.01.21 22:00:00,0.65885,0.65964,0.65883,0.65948,2080.53
2024.01.21 23:00:00,0.65949,0.66,0.65899,0.65946,2462.64
2024.01.22 00:00:00,0.65947,0.66087,0.65907,0.66077,2592.51
2024.01.22 01:00:00,0.66079,0.66132,0.66009,0.66035,6212.86
2024.01.22 02:00:00,0.66034,0.66058,0.6595,0.66014,5493.06
2024.01.22 03:00:00,0.66013,0.66032,0.65925,0.65953,4841.22
2024.01.22 04:00:00,0.65952,0.65981,0.65893,0.65937,1820.29
2024.01.22 05:00:00,0.65938,0.65942,0.65851,0.6588,3335.18
2024.01.22 06:00:00,0.6588,0.65905,0.65818,0.65897,3731.85
2024.01.22 07:00:00,0.65896,0.65925,0.65825,0.6591,9121.89
2024.01.22 08:00:00,0.6591,0.65943,0.65818,0.65842,8308.17
2024.01.22 09:00:00,0.65844,0.65921,0.65805,0.65871,6747.63
2024.01.22 10:00:00,0.65869,0.65898,0.65843,0.6587,9441.78
2024.01.22 11:00:00,0.65869,0.65933,0.65866,0.65897,4058.58
2024.01.22 12:00:00,0.65895,0.65975,0.65886,0.65935,3416.92
2024.01.22 13:00:00,0.65934,0.65944,0.65836,0.65899,5783.78
2024.01.22 14:00:00,0.65899,0.65949,0.65814,0.65918,6761.49
2024.01.22 15:00:00,0.65918,0.65957,0.65852,0.65894,8228.77
2024.01.22 16:00:00,0.65892,0.659,0.65804,0.65846,5966.01
2024.01.22 17:00:00,0.65846,0.65884,0.65784,0.65841,2293.64
2024.01.22 18:00:00,0.65841,0.65841,0.65707,0.65742,5733.46
2024.01.22 19:00:00,0.65742,0.65753,0.65671,0.65717,4962.57
2024.01.22 20:00:00,0.65718,0.65729,0.65657,0.65705,5676.01
2024.01.22 21:00:00,0.65706,0.65713,0.65674,0.65694,2027.56
2024.01.22 22:00:00,0.65686,0.65705,0.6567,0.65678,1084.48
2024.01.22 23:00:00,0.65679,0.65718,0.65646,0.657,1998.16
2024.01.23 00:00:00,0.657,0.65826,0.65695,0.65814,1965.61
2024.01.23 01:00:00,0.65814,0.65928,0.65745,0.65894,6528.98
2024.01.23 02:00:00,0.65893,0.66008,0.65816,0.65867,9106.02
2024.01.23 03:00:00,0.65867,0.65984,0.65805,0.65951,7619.97
2024.01.23 04:00:00,0.65951,0.66017,0.65923,0.66,2479.58
2024.01.23 05:00:00,0.66001,0.66082,0.65987,0.66069,4212.84
2024.01.23 06:00:00,0.66069,0.6612,0.65993,0.661,4399.78
2024.01.23 07:00:00,0.66102,0.66113,0.6597,0.65983,7237.65
2024.01.23 08:00:00,0.65985,0.65998,0.65887,0.65912,4319.11
2024.01.23 09:00:00,0.65911,0.65911,0.65834,0.65873,4888.61
2024.01.23 10:00:00,0.65871,0.65881,0.65818,0.65848,3530.01
2024.01.23 11:00:00,0.65848,0.65867,0.65753,0.65774,3867.08
2024.01.23 12:00:00,0.65773,0.65895,0.65767,0.65877,3117.35
2024.01.23 13:00:00,0.65879,0.65994,0.65878,0.6592,5259.73
2024.01.23 14:00:00,0.65919,0.65919,0.65741,0.65756,10364.09
2024.01.23 15:00:00,0.65755,0.65864,0.65614,0.65641,9273.16
2024.01.23 16:00:00,0.6564,0.65719,0.65602,0.65646,7455.8
2024.01.23 17:00:00,0.65648,0.65672,0.65512,0.65585,4023.76
2024.01.23 18:00:00,0.65586,0.6566,0.65577,0.65645,2776.08
2024.01.23 19:00:00,0.65646,0.65735,0.65631,0.65707,2008.52
2024.01.23 20:00:00,0.65708,0.65776,0.65688,0.65767,3935.91
2024.01.23 21:00:00,0.65767,0.65805,0.65759,0.65782,2585.83
2024.01.23 22:00:00,0.65777,0.65816,0.6576,0.65805,2873.61
2024.01.23 23:00:00,0.65805,0.65864,0.65796,0.65857,1957.23
2024.01.24 00:00:00,0.65856,0.65858,0.6579,0.65814,4063.32
2024.01.24 01:00:00,0.65813,0.65815,0.65732,0.65755,6162.55
2024.01.24 02:00:00,0.65756,0.6576,0.65657,0.6568,3619.32
2024.01.24 03:00:00,0.65679,0.65713,0.65655,0.65691,2546.77
2024.01.24 04:00:00,0.65691,0.65742,0.65677,0.6574,1189.45
2024.01.24 05:00:00,0.65739,0.65759,0.65654,0.65736,2367.89
2024.01.24 06:00:00,0.65734,0.658,0.65704,0.65772,2674.88
2024.01.24 07:00:00,0.65772,0.65895,0.65723,0.65844,4687.91
2024.01.24 08:00:00,0.65845,0.65952,0.65845,0.65914,8518.89
2024.01.24 09:00:00,0.65916,0.66089,0.65903,0.66006,11379.88
2024.01.24 10:00:00,0.66004,0.66045,0.65937,0.65973,4839.42
2024.01.24 11:00:00,0.65975,0.6599,0.65924,0.65978,9476.57
2024.01.24 12:00:00,0.6598,0.66005,0.65919,0.65957,7096.76
2024.01.24 13:00:00,0.65956,0.66186,0.65948,0.66164,12832.87
2024.01.24 14:00:00,0.66163,0.66206,0.65962,0.65999,21743.17
2024.01.24 15:00:00,0.65999,0.66101,0.65909,0.66031,26994.64
2024.01.24 16:00:00,0.66032,0.66044,0.65933,0.66003,11153.56
2024.01.24 17:00:00,0.66002,0.66083,0.65991,0.66065,5148.72
2024.01.24 18:00:00,0.66064,0.66074,0.65857,0.65879,7735.66
2024.01.24 19:00:00,0.65879,0.6588,0.65755,0.65801,4496.61
2024.01.24 20:00:00,0.65801,0.65829,0.65754,0.65763,5219.43
2024.01.24 21:00:00,0.65762,0.65775,0.65738,0.65758,1779.2
2024.01.24 22:00:00,0.65757,0.65778,0.65702,0.65739,2150.06
2024.01.24 23:00:00,0.65743,0.65799,0.6573,0.65752,2324.26
2024.01.25 00:00:00,0.65751,0.65767,0.65675,0.65726,3920.84
2024.01.25 01:00:00,0.65724,0.65764,0.65656,0.65742,4594.32
2024.01.25 02:00:00,0.65742,0.65791,0.65686,0.65727,4799.19
2024.01.25 03:00:00,0.65728,0.65786,0.65728,0.65762,2093.22
2024.01.25 04:00:00,0.65762,0.65806,0.65721,0.65743,1215.07
2024.01.25 05:00:00,0.65742,0.65766,0.6571,0.65732,2855.93
2024.01.25 06:00:00,0.65732,0.65829,0.65721,0.6581,2686.8
2024.01.25 07:00:00,0.6581,0.65846,0.65781,0.65824,3509.91
2024.01.25 08:00:00,0.65821,0.65843,0.65706,0.65796,5525.31
2024.01.25 09:00:00,0.65798,0.65877,0.65768,0.65861,7730.97
2024.01.25 10:00:00,0.6586,0.65914,0.65842,0.65881,3426.72
2024.01.25 11:00:00,0.65882,0.65917,0.65856,0.65911,3643.21
2024.01.25 12:00:00,0.65913,0.65918,0.65799,0.6581,6245.85
2024.01.25 13:00:00,0.6581,0.66067,0.65741,0.66055,19876.59
2024.01.25 14:00:00,0.66055,0.66092,0.6589,0.66005,28899.19
2024.01.25 15:00:00,0.66006,0.6602,0.65767,0.6581,18328.25
2024.01.25 16:00:00,0.6581,0.6585,0.65762,0.65798,7183.92
2024.01.25 17:00:00,0.65798,0.65844,0.65716,0.6577,5184.14
2024.01.25 18:00:00,0.6577,0.65865,0.6574,0.65743,6098.21
2024.01.25 19:00:00,0.65743,0.65822,0.657,0.6581,5827.02
2024.01.25 20:00:00,0.6581,0.65838,0.65779,0.65826,10277.63
2024.01.25 21:00:00,0.65828,0.65859,0.65818,0.65842,1414.36
2024.01.25 22:00:00,0.65831,0.65853,0.65781,0.65842,860.18
2024.01.25 23:00:00,0.65846,0.65846,0.65807,0.65816,1011.5
2024.01.26 00:00:00,0.65814,0.65847,0.65758,0.65823,2093.31
2024.01.26 01:00:00,0.65823,0.65908,0.65816,0.65871,3119.17
2024.01.26 02:00:00,0.6587,0.65936,0.65856,0.65899,3376.73
2024.01.26 03:00:00,0.65899,0.65932,0.65886,0.65919,1532.91
2024.01.26 04:00:00,0.65919,0.6593,0.65861,0.65866,1338.98
2024.01.26 05:00:00,0.65868,0.65964,0.65861,0.6592,2346.25
2024.01.26 06:00:00,0.6592,0.6592,0.65814,0.65839,3387.78
2024.01.26 07:00:00,0.65839,0.65855,0.65764,0.65819,3594.32
2024.01.26 08:00:00,0.65823,0.65867,0.65781,0.65856,10955.86
2024.01.26 09:00:00,0.65858,0.65921,0.6578,0.659,7363.17
2024.01.26 10:00:00,0.65902,0.65967,0.65902,0.65954,5098.16
2024.01.26 11:00:00,0.65955,0.66014,0.65952,0.65973,4089.05
2024.01.26 12:00:00,0.65974,0.66003,0.65917,0.65921,3355.59
2024.01.26 13:00:00,0.65922,0.66092,0.65869,0.66037,15832.44
2024.01.26 14:00:00,0.66036,0.66062,0.65906,0.65968,10705.61
2024.01.26 15:00:00,0.65966,0.65966,0.65862,0.659,9203.84
2024.01.26 16:00:00,0.659,0.65915,0.65824,0.65854,5343.52
2024.01.26 17:00:00,0.65851,0.65876,0.65777,0.65804,6677.76
2024.01.26 18:00:00,0.65803,0.65821,0.6576,0.65779,8901.66
2024.01.26 19:00:00,0.65778,0.65843,0.65774,0.65813,3725.02
2024.01.26 20:00:00,0.65812,0.65831,0.65789,0.65801,1577.89
2024.01.26 21:00:00,0.65801,0.65808,0.65718,0.65718,2542.17
2024.01.28 22:00:00,0.6571,0.65761,0.65704,0.65714,1544.5
2024.01.28 23:00:00,0.65722,0.65824,0.65691,0.65766,3403.66
2024.01.29 00:00:00,0.65764,0.65803,0.65728,0.65799,3349.24
2024.01.29 01:00:00,0.65801,0.65946,0.65801,0.6591,5719.34
2024.01.29 02:00:00,0.6591,0.6591,0.65838,0.65886,3227.98
2024.01.29 03:00:00,0.65886,0.65929,0.6585,0.65905,2275.21
2024.01.29 04:00:00,0.65906,0.65946,0.65886,0.65893,1589
