Time (UTC),Open,High,Low,Close,Volume 
2024.01.19 00:00:00,0.85586,0.85625,0.8558,0.85604,1542.57
2024.01.19 01:00:00,0.85605,0.8567,0.85598,0.85659,1417.96
2024.01.19 02:00:00,0.85659,0.85694,0.8564,0.85655,1420.2
2024.01.19 03:00:00,0.85655,0.85659,0.85635,0.85648,1003.44
2024.01.19 04:00:00,0.85648,0.85672,0.85643,0.85669,654.1
2024.01.19 05:00:00,0.85668,0.85694,0.85655,0.85677,1555.37
2024.01.19 06:00:00,0.85678,0.85703,0.85661,0.85668,2213.93
2024.01.19 07:00:00,0.8567,0.85843,0.85667,0.85755,5376.9
2024.01.19 08:00:00,0.85756,0.85827,0.85746,0.85775,4672.66
2024.01.19 09:00:00,0.85776,0.85837,0.85729,0.85797,4120.09
2024.01.19 10:00:00,0.85797,0.8583,0.85758,0.85805,3713.35
2024.01.19 11:00:00,0.85805,0.85863,0.85778,0.8585,2726.96
2024.01.19 12:00:00,0.85848,0.85856,0.85787,0.8583,3009.51
2024.01.19 13:00:00,0.85831,0.85852,0.85812,0.85842,3461.82
2024.01.19 14:00:00,0.85841,0.85863,0.85806,0.85839,4604.25
2024.01.19 15:00:00,0.85839,0.85868,0.85817,0.85823,6858.77
2024.01.19 16:00:00,0.85823,0.85926,0.85818,0.85887,4095.36
2024.01.19 17:00:00,0.85887,0.85906,0.85819,0.85824,3008.77
2024.01.19 18:00:00,0.85824,0.85864,0.8581,0.85841,2140.4
2024.01.19 19:00:00,0.8584,0.85841,0.85778,0.85784,2070.97
2024.01.19 20:00:00,0.85785,0.85803,0.85766,0.85767,1668.54
2024.01.19 21:00:00,0.85767,0.85789,0.85749,0.85749,1833.75
2024.01.21 22:00:00,0.8574,0.85778,0.8568,0.85743,2703.27
2024.01.21 23:00:00,0.85736,0.85785,0.8572,0.85768,2555.13
2024.01.22 00:00:00,0.85768,0.85782,0.85759,0.8577,1248.76
2024.01.22 01:00:00,0.8577,0.85799,0.8576,0.85777,2015.16
2024.01.22 02:00:00,0.85778,0.85785,0.85759,0.85765,1403.29
2024.01.22 03:00:00,0.85764,0.85774,0.85751,0.85752,1061.54
2024.01.22 04:00:00,0.85752,0.85759,0.8573,0.8573,838.54
2024.01.22 05:00:00,0.85729,0.85745,0.85698,0.85708,1509.64
2024.01.22 06:00:00,0.85708,0.85769,0.85687,0.85767,1884.37
2024.01.22 07:00:00,0.85768,0.85826,0.85752,0.85781,3234.16
2024.01.22 08:00:00,0.8578,0.85812,0.85766,0.85801,4053.07
2024.01.22 09:00:00,0.85801,0.85806,0.85748,0.85768,3055.17
2024.01.22 10:00:00,0.8577,0.85771,0.85665,0.85666,2917.23
2024.01.22 11:00:00,0.85665,0.8568,0.85637,0.85649,2608.59
2024.01.22 12:00:00,0.85647,0.85656,0.85578,0.85589,3651.92
2024.01.22 13:00:00,0.85589,0.8561,0.85546,0.85577,4060.82
2024.01.22 14:00:00,0.85575,0.85663,0.85555,0.85592,4258.17
2024.01.22 15:00:00,0.85594,0.85616,0.85561,0.85573,3941.22
2024.01.22 16:00:00,0.85573,0.85644,0.85573,0.85601,3161.99
2024.01.22 17:00:00,0.85601,0.85652,0.85581,0.85651,2660.94
2024.01.22 18:00:00,0.85649,0.85665,0.85639,0.8566,2409.13
2024.01.22 19:00:00,0.85661,0.85698,0.85658,0.85669,2990.91
2024.01.22 20:00:00,0.85668,0.85674,0.85637,0.85643,1593.68
2024.01.22 21:00:00,0.85641,0.85648,0.85613,0.85615,1081.62
2024.01.22 22:00:00,0.85512,0.85627,0.85512,0.85577,3549.51
2024.01.22 23:00:00,0.85578,0.85637,0.85578,0.85601,2545.82
2024.01.23 00:00:00,0.85599,0.8561,0.85574,0.85595,1038.17
2024.01.23 01:00:00,0.85595,0.85616,0.85568,0.8559,1381.89
2024.01.23 02:00:00,0.8559,0.85608,0.85572,0.8559,2513.55
2024.01.23 03:00:00,0.85591,0.85608,0.85577,0.85599,2062.58
2024.01.23 04:00:00,0.85598,0.85621,0.85593,0.85621,932.28
2024.01.23 05:00:00,0.85621,0.85627,0.85604,0.85624,1508.81
2024.01.23 06:00:00,0.85623,0.85625,0.85577,0.85621,3485.13
2024.01.23 07:00:00,0.85621,0.85651,0.85587,0.85601,3995.64
2024.01.23 08:00:00,0.85602,0.85628,0.85562,0.8557,3798.76
2024.01.23 09:00:00,0.8557,0.85583,0.85522,0.85532,3437.26
2024.01.23 10:00:00,0.85531,0.85546,0.85479,0.85497,3662.63
2024.01.23 11:00:00,0.85497,0.85533,0.85489,0.85514,4751.81
2024.01.23 12:00:00,0.85513,0.85537,0.85461,0.85469,4676.74
2024.01.23 13:00:00,0.85471,0.85567,0.85464,0.85563,4008.3
2024.01.23 14:00:00,0.85564,0.85634,0.85548,0.85575,5577.39
2024.01.23 15:00:00,0.85576,0.85593,0.85465,0.8551,6058.61
2024.01.23 16:00:00,0.85511,0.85593,0.85503,0.85543,5235.71
2024.01.23 17:00:00,0.85542,0.85624,0.85538,0.85566,2716.41
2024.01.23 18:00:00,0.85568,0.85582,0.85532,0.85556,2672.61
2024.01.23 19:00:00,0.85557,0.85559,0.85513,0.85522,2094.44
2024.01.23 20:00:00,0.85521,0.85525,0.855,0.85519,1651.18
2024.01.23 21:00:00,0.85519,0.85554,0.8551,0.85532,1047.73
