Time (EET),Open,High,Low,Close,Volume 
2024.01.02 00:00:00,1.32229,1.32485,1.32229,1.32413,380.72
2024.01.02 01:00:00,1.32412,1.32478,1.32397,1.32442,1884.74
2024.01.02 02:00:00,1.32441,1.32474,1.32422,1.32446,1503.97
2024.01.02 03:00:00,1.32448,1.3245,1.3228,1.32411,5418.96
2024.01.02 04:00:00,1.32412,1.32545,1.32389,1.32536,1795.31
2024.01.02 05:00:00,1.32534,1.32562,1.32499,1.32554,1359.45
2024.01.02 06:00:00,1.32553,1.32572,1.32537,1.32545,1979.04
2024.01.02 07:00:00,1.32543,1.32562,1.32355,1.32358,3505.75
2024.01.02 08:00:00,1.32358,1.32553,1.32356,1.32538,2289.32
2024.01.02 09:00:00,1.32539,1.32543,1.32379,1.32507,6090.74
2024.01.02 10:00:00,1.32506,1.3251,1.3228,1.32413,4432.54
2024.01.02 11:00:00,1.32413,1.32534,1.32409,1.32529,3078.49
2024.01.02 12:00:00,1.32533,1.32626,1.32478,1.32494,5424.88
2024.01.02 13:00:00,1.32494,1.32708,1.32479,1.32676,6791.04
2024.01.02 14:00:00,1.32674,1.32907,1.32665,1.32905,4376.26
2024.01.02 15:00:00,1.32906,1.33085,1.3289,1.32991,11182.26
2024.01.02 16:00:00,1.32991,1.33285,1.32989,1.33157,11464.34
2024.01.02 17:00:00,1.33159,1.33271,1.331,1.3312,15286.34
2024.01.02 18:00:00,1.3312,1.33195,1.33,1.33103,11201.16
2024.01.02 19:00:00,1.33103,1.33148,1.33023,1.33045,4101.78
2024.01.02 20:00:00,1.33045,1.33271,1.33045,1.33262,3996.21
2024.01.02 21:00:00,1.33262,1.33326,1.33217,1.33265,3994.46
2024.01.02 22:00:00,1.33263,1.33336,1.3324,1.33301,3616.4
2024.01.02 23:00:00,1.333,1.33311,1.33196,1.33196,1844.68
2024.01.03 00:00:00,1.33182,1.33227,1.33145,1.3321,1412.47
2024.01.03 01:00:00,1.33203,1.33228,1.332,1.33216,1352.05
2024.01.03 02:00:00,1.33216,1.33232,1.33174,1.33219,1261.34
2024.01.03 03:00:00,1.33218,1.33292,1.33198,1.3326,3534.91
2024.01.03 04:00:00,1.33259,1.33316,1.33246,1.33272,2925.82
2024.01.03 05:00:00,1.33274,1.33299,1.33247,1.33253,2059.41
2024.01.03 06:00:00,1.33254,1.33291,1.33244,1.33268,1338.8
2024.01.03 07:00:00,1.33269,1.33293,1.33246,1.33269,2426.94
2024.01.03 08:00:00,1.33269,1.33273,1.33209,1.33245,3294.03
2024.01.03 09:00:00,1.33243,1.33337,1.33223,1.33242,3439.72
2024.01.03 10:00:00,1.33241,1.33336,1.33225,1.33248,7808.48
2024.01.03 11:00:00,1.3325,1.3333,1.33233,1.3325,5363.53
2024.01.03 12:00:00,1.33251,1.33349,1.33231,1.33342,4090.39
2024.01.03 13:00:00,1.33341,1.33459,1.33305,1.33428,4014.49
2024.01.03 14:00:00,1.33427,1.33483,1.33367,1.33449,5820.15
2024.01.03 15:00:00,1.3345,1.33638,1.33447,1.33617,8611.87
2024.01.03 16:00:00,1.33616,1.33642,1.33471,1.33505,9415.53
2024.01.03 17:00:00,1.33519,1.33673,1.33369,1.33506,13370.5
2024.01.03 18:00:00,1.33505,1.33614,1.33427,1.33578,7260.5
2024.01.03 19:00:00,1.33579,1.3363,1.3355,1.33604,3574.08
2024.01.03 20:00:00,1.33607,1.33624,1.33497,1.33596,4870.77
2024.01.03 21:00:00,1.33606,1.33715,1.33474,1.33553,11508.81
2024.01.03 22:00:00,1.33553,1.33584,1.33507,1.33575,5949.11
2024.01.03 23:00:00,1.33576,1.33586,1.33512,1.33513,2354.11
2024.01.04 00:00:00,1.33509,1.3352,1.33462,1.33506,1160.37
2024.01.04 01:00:00,1.33505,1.33521,1.3347,1.33479,1348.56
2024.01.04 02:00:00,1.33482,1.33525,1.33481,1.33499,1232.56
2024.01.04 03:00:00,1.335,1.33513,1.33438,1.33465,2816.05
2024.01.04 04:00:00,1.33466,1.33546,1.33449,1.3351,1976.94
2024.01.04 05:00:00,1.3351,1.33512,1.33365,1.33383,2230.51
2024.01.04 06:00:00,1.33384,1.33408,1.33351,1.33386,982.91
2024.01.04 07:00:00,1.33385,1.33432,1.33382,1.33397,2044.99
2024.01.04 08:00:00,1.33399,1.33404,1.33225,1.33247,4908.45
2024.01.04 09:00:00,1.33247,1.33276,1.33169,1.33193,6628.23
2024.01.04 10:00:00,1.33194,1.3326,1.3317,1.33238,5052.62
2024.01.04 11:00:00,1.33237,1.33304,1.3319,1.33235,5168.93
2024.01.04 12:00:00,1.33236,1.33295,1.33168,1.33227,4114.9
2024.01.04 13:00:00,1.33227,1.33384,1.33202,1.33371,2171.49
2024.01.04 14:00:00,1.33373,1.33415,1.33286,1.33337,4127.33
2024.01.04 15:00:00,1.33341,1.33613,1.33299,1.33565,8486.59
2024.01.04 16:00:00,1.33568,1.33659,1.33491,1.33565,10404.34
2024.01.04 17:00:00,1.33565,1.33613,1.33411,1.33534,8274.17
2024.01.04 18:00:00,1.33538,1.33626,1.33493,1.33565,7934.25
2024.01.04 19:00:00,1.33565,1.33604,1.33503,1.33545,4337.53
2024.01.04 20:00:00,1.33545,1.33589,1.33474,1.33573,2679.75
