Time (UTC),Open,High,Low,Close,Volume 
2024.01.19 00:00:00,0.86799,0.86829,0.86774,0.86818,2089.08
2024.01.19 01:00:00,0.86815,0.8686,0.86781,0.86807,2985.19
2024.01.19 02:00:00,0.86807,0.86848,0.86791,0.86821,2657.38
2024.01.19 03:00:00,0.8682,0.86833,0.86778,0.86801,1830.08
2024.01.19 04:00:00,0.86802,0.86837,0.868,0.86832,893.18
2024.01.19 05:00:00,0.8683,0.86878,0.86825,0.86866,2248.44
2024.01.19 06:00:00,0.86868,0.86925,0.86853,0.86864,3716.34
2024.01.19 07:00:00,0.86864,0.86876,0.86761,0.86818,6786.34
2024.01.19 08:00:00,0.86819,0.86931,0.86776,0.86818,7957.38
2024.01.19 09:00:00,0.86818,0.86921,0.86809,0.86844,6971.37
2024.01.19 10:00:00,0.86845,0.86934,0.86777,0.86917,4981.01
2024.01.19 11:00:00,0.86915,0.86934,0.86828,0.86893,3468.35
2024.01.19 12:00:00,0.86891,0.86937,0.86887,0.869,3647.7
2024.01.19 13:00:00,0.869,0.86937,0.86844,0.86903,7702.51
2024.01.19 14:00:00,0.86903,0.8704,0.8688,0.8688,9024.48
2024.01.19 15:00:00,0.86877,0.87016,0.86778,0.86888,15207.36
2024.01.19 16:00:00,0.8689,0.86986,0.86852,0.86943,7025.57
2024.01.19 17:00:00,0.8694,0.87013,0.86909,0.86909,6343.8
2024.01.19 18:00:00,0.86909,0.86966,0.86902,0.86939,2904.72
2024.01.19 19:00:00,0.86943,0.86958,0.86873,0.86898,4075.12
2024.01.19 20:00:00,0.86897,0.86913,0.86816,0.86817,3454.15
2024.01.19 21:00:00,0.86819,0.86855,0.86764,0.86764,2672.61
2024.01.21 22:00:00,0.8685,0.86909,0.86733,0.86824,3051.44
2024.01.21 23:00:00,0.86817,0.8688,0.86801,0.8685,2984.42
2024.01.22 00:00:00,0.86851,0.86887,0.86798,0.86802,3709.96
2024.01.22 01:00:00,0.86802,0.8681,0.86764,0.86793,3798.25
2024.01.22 02:00:00,0.86793,0.86814,0.86764,0.86769,2609.98
2024.01.22 03:00:00,0.86769,0.86826,0.86767,0.86822,2290.89
2024.01.22 04:00:00,0.86822,0.86828,0.86799,0.86807,2253.12
2024.01.22 05:00:00,0.86808,0.86854,0.86801,0.86821,2754.78
2024.01.22 06:00:00,0.86821,0.86841,0.86781,0.86817,2894.17
2024.01.22 07:00:00,0.86817,0.86905,0.86766,0.86877,7922.82
2024.01.22 08:00:00,0.86879,0.86913,0.86776,0.86866,9426.08
2024.01.22 09:00:00,0.86866,0.86869,0.86657,0.86772,8609.58
2024.01.22 10:00:00,0.86774,0.86861,0.86771,0.86846,5206.5
2024.01.22 11:00:00,0.86846,0.86871,0.86809,0.86818,5332.28
2024.01.22 12:00:00,0.8682,0.86835,0.86729,0.86808,6095.81
2024.01.22 13:00:00,0.86811,0.86893,0.86705,0.86737,9334.84
2024.01.22 14:00:00,0.8674,0.86898,0.86738,0.86881,7272.12
2024.01.22 15:00:00,0.86882,0.86953,0.86813,0.86915,7472.52
2024.01.22 16:00:00,0.86915,0.87003,0.86855,0.86863,4684.17
2024.01.22 17:00:00,0.86859,0.86907,0.86812,0.86845,3443
2024.01.22 18:00:00,0.86844,0.86925,0.86844,0.8689,3386.89
2024.01.22 19:00:00,0.86892,0.86977,0.86868,0.86882,3589.47
2024.01.22 20:00:00,0.8688,0.86918,0.86874,0.86882,2752.98
2024.01.22 21:00:00,0.86882,0.8691,0.86867,0.86894,2165.82
2024.01.22 22:00:00,0.86889,0.86913,0.86885,0.86896,6701.61
2024.01.22 23:00:00,0.86896,0.86924,0.86893,0.86916,10366.57
2024.01.23 00:00:00,0.86916,0.86933,0.86868,0.86882,1239.32
2024.01.23 01:00:00,0.86881,0.86906,0.86795,0.86798,3264.57
2024.01.23 02:00:00,0.86798,0.86818,0.86707,0.86764,4350.11
2024.01.23 03:00:00,0.86762,0.86783,0.86673,0.86683,3569.33
2024.01.23 04:00:00,0.86682,0.86706,0.86653,0.86662,1894.92
2024.01.23 05:00:00,0.8666,0.86677,0.86554,0.86564,4140.57
2024.01.23 06:00:00,0.86564,0.86623,0.86499,0.86504,5077.91
2024.01.23 07:00:00,0.86502,0.86695,0.86496,0.86667,8740.52
2024.01.23 08:00:00,0.86666,0.86788,0.86646,0.86752,7691.53
