Time (UTC),Open,High,Low,Close,Volume 
2025.03.05 15:00:00,0.88737,0.89034,0.88737,0.88845,18106.12
2025.03.05 16:00:00,0.88847,0.89056,0.88749,0.88996,12431.05
2025.03.05 17:00:00,0.88996,0.89119,0.8895,0.89072,9083.12
2025.03.05 18:00:00,0.89072,0.89127,0.89035,0.89057,9473.51
2025.03.05 19:00:00,0.89057,0.89137,0.89028,0.89038,4708.98
2025.03.05 20:00:00,0.89038,0.89142,0.89028,0.89062,3201.51
2025.03.05 21:00:00,0.89061,0.89129,0.89036,0.89063,2837.98
2025.03.05 22:00:00,0.89055,0.89073,0.8897,0.89066,295.5
2025.03.05 23:00:00,0.8907,0.89088,0.89026,0.8907,1971.31
2025.03.06 00:00:00,0.89071,0.89136,0.89049,0.89066,3243.78
2025.03.06 01:00:00,0.89065,0.89123,0.88944,0.8903,4118.46
2025.03.06 02:00:00,0.8903,0.89157,0.8902,0.89154,4549.29
2025.03.06 03:00:00,0.89157,0.89238,0.89146,0.89232,3856.66
2025.03.06 04:00:00,0.89233,0.89254,0.89073,0.89076,2947.05
2025.03.06 05:00:00,0.89075,0.8917,0.89072,0.89076,4221.85
2025.03.06 06:00:00,0.89076,0.89125,0.88964,0.89,5561.37
2025.03.06 07:00:00,0.89001,0.89024,0.88762,0.88906,9036.16
2025.03.06 08:00:00,0.88906,0.88981,0.88674,0.88815,13661.61
2025.03.06 09:00:00,0.88817,0.88836,0.88571,0.88599,8275
2025.03.06 10:00:00,0.886,0.88813,0.88535,0.88676,6121.68
2025.03.06 11:00:00,0.88675,0.88695,0.88517,0.88527,5249.72
2025.03.06 12:00:00,0.8853,0.88721,0.88494,0.88674,6596.85
2025.03.06 13:00:00,0.88676,0.88691,0.8845,0.88479,15914.65
2025.03.06 14:00:00,0.88479,0.88505,0.88272,0.8829,16095.95
2025.03.06 15:00:00,0.88291,0.88692,0.88281,0.88598,14683.15
2025.03.06 16:00:00,0.88599,0.88612,0.88384,0.88409,11330.81
2025.03.06 17:00:00,0.8841,0.88465,0.88289,0.88447,8037.14
2025.03.06 18:00:00,0.88448,0.8845,0.88276,0.88357,6161.08
2025.03.06 19:00:00,0.88357,0.88357,0.88251,0.88261,4967.08
2025.03.06 20:00:00,0.88262,0.88337,0.88253,0.88328,3835.23
2025.03.06 21:00:00,0.88327,0.88418,0.88324,0.8836,1938.78
2025.03.06 22:00:00,0.88354,0.88406,0.88275,0.88302,824.81
2025.03.06 23:00:00,0.88303,0.88356,0.88292,0.88333,1574.14
2025.03.07 00:00:00,0.88335,0.88339,0.88224,0.8824,2750.02
2025.03.07 01:00:00,0.88239,0.88312,0.88212,0.8827,3186.03
2025.03.07 02:00:00,0.88271,0.88295,0.88223,0.88239,3375.9
2025.03.07 03:00:00,0.88238,0.8824,0.88141,0.88222,2983.23
2025.03.07 04:00:00,0.88222,0.88254,0.88199,0.88214,1743.78
2025.03.07 05:00:00,0.88213,0.88245,0.88135,0.88136,2280.24
2025.03.07 06:00:00,0.88135,0.88188,0.88109,0.88129,2858.55
2025.03.07 07:00:00,0.88129,0.88149,0.8794,0.88044,5151.12
2025.03.07 08:00:00,0.88047,0.88083,0.8775,0.87782,7336.08
2025.03.07 09:00:00,0.87782,0.87874,0.87666,0.87853,6236.4
2025.03.07 10:00:00,0.87852,0.87877,0.87774,0.87805,5515.75
2025.03.07 11:00:00,0.87805,0.87959,0.87805,0.87949,3920.75
2025.03.07 12:00:00,0.87948,0.8802,0.87921,0.87996,4810.8
2025.03.07 13:00:00,0.87995,0.88188,0.8779,0.87916,18831.93
2025.03.07 14:00:00,0.87918,0.87978,0.87697,0.87917,17772.12
2025.03.07 15:00:00,0.87918,0.88027,0.8781,0.87882,18251.97
2025.03.07 16:00:00,0.87883,0.87938,0.87692,0.87735,11377.12
2025.03.07 17:00:00,0.87733,0.87996,0.87676,0.87899,8494.87
2025.03.07 18:00:00,0.87901,0.88104,0.87893,0.88011,6978.13
2025.03.07 19:00:00,0.88011,0.88077,0.87944,0.87998,4922.73
2025.03.07 20:00:00,0.87999,0.88023,0.87933,0.8798,2840.5
2025.03.07 21:00:00,0.87982,0.88015,0.87923,0.87923,1753.24
2025.03.09 21:00:00,0.87821,0.88034,0.87821,0.87981,1654.14
2025.03.09 22:00:00,0.87974,0.87974,0.87782,0.87787,3460.21
2025.03.09 23:00:00,0.87785,0.8779,0.87668,0.8773,3104.61
2025.03.10 00:00:00,0.87728,0.87785,0.87649,0.87685,4320.84
