Time (EET),Open,High,Low,Close,Volume 
2024.01.02 00:00:00,140.843,140.961,140.839,140.875,577.88
2024.01.02 01:00:00,140.883,141.128,140.811,141.11,7594.69
2024.01.02 02:00:00,141.11,141.378,141.096,141.14,12055.48
2024.01.02 03:00:00,141.142,141.456,141.141,141.439,11158.06
2024.01.02 04:00:00,141.435,141.669,141.364,141.562,12562.63
2024.01.02 05:00:00,141.561,141.665,141.494,141.499,9904.04
2024.01.02 06:00:00,141.501,141.585,141.459,141.537,6251.94
2024.01.02 07:00:00,141.533,141.533,141.345,141.35,7614.47
2024.01.02 08:00:00,141.35,141.55,141.335,141.521,6203.63
2024.01.02 09:00:00,141.519,141.604,141.387,141.544,26172.43
2024.01.02 10:00:00,141.543,141.592,141.29,141.555,26942.93
2024.01.02 11:00:00,141.555,141.672,141.377,141.552,19067.29
2024.01.02 12:00:00,141.552,141.771,141.504,141.649,17117.88
2024.01.02 13:00:00,141.65,141.887,141.59,141.825,15500.7
2024.01.02 14:00:00,141.825,142.216,141.791,142.114,17286.56
2024.01.02 15:00:00,142.114,142.16,141.885,142.15,19733.56
2024.01.02 16:00:00,142.15,142.175,141.51,141.546,27272.14
2024.01.02 17:00:00,141.548,142.015,141.499,141.925,31396.24
2024.01.02 18:00:00,141.924,141.998,141.711,141.892,19643.61
2024.01.02 19:00:00,141.891,141.998,141.877,141.971,10681.28
2024.01.02 20:00:00,141.97,142.001,141.847,141.949,6110.5
2024.01.02 21:00:00,141.947,142,141.901,141.946,4451.36
2024.01.02 22:00:00,141.947,141.974,141.803,141.966,6766.21
2024.01.02 23:00:00,141.966,142.017,141.943,141.978,3763.22
2024.01.03 00:00:00,141.971,142.056,141.856,142.041,1319.89
2024.01.03 01:00:00,142.041,142.181,142.041,142.173,3681.44
2024.01.03 02:00:00,142.174,142.174,141.858,141.954,7172.55
2024.01.03 03:00:00,141.954,142.135,141.907,142.013,6511.92
2024.01.03 04:00:00,142.013,142.063,141.984,142.034,5039.7
2024.01.03 05:00:00,142.037,142.041,141.877,141.889,5944.93
2024.01.03 06:00:00,141.886,141.943,141.858,141.904,4723.19
2024.01.03 07:00:00,141.904,142.132,141.904,142.123,4840.48
2024.01.03 08:00:00,142.12,142.131,142.01,142.088,9318.63
2024.01.03 09:00:00,142.087,142.468,142.035,142.418,18910.25
2024.01.03 10:00:00,142.417,142.645,142.396,142.572,16040.88
2024.01.03 11:00:00,142.573,142.71,142.499,142.637,13666.46
2024.01.03 12:00:00,142.638,142.794,142.599,142.649,15323.09
2024.01.03 13:00:00,142.648,142.98,142.591,142.932,25590.59
2024.01.03 14:00:00,142.931,142.989,142.789,142.932,30311.06
2024.01.03 15:00:00,142.934,143.083,142.816,143.017,40546.04
2024.01.03 16:00:00,143.017,143.41,142.961,143.204,40462.81
2024.01.03 17:00:00,143.222,143.727,142.809,143.599,52395.19
2024.01.03 18:00:00,143.599,143.599,143.338,143.556,31860.71
2024.01.03 19:00:00,143.555,143.727,143.495,143.609,18436.28
2024.01.03 20:00:00,143.607,143.671,143.465,143.564,17694.48
2024.01.03 21:00:00,143.564,143.731,143.136,143.235,41831.72
2024.01.03 22:00:00,143.237,143.276,143.116,143.237,16910.06
2024.01.03 23:00:00,143.238,143.307,143.229,143.281,5693.95
2024.01.04 00:00:00,143.277,143.277,143.102,143.136,2426.23
2024.01.04 01:00:00,143.14,143.145,142.948,142.995,8563.29
2024.01.04 02:00:00,142.995,143.32,142.853,143.266,22350.91
2024.01.04 03:00:00,143.268,143.448,143.118,143.428,15368.27
2024.01.04 04:00:00,143.427,143.486,143.348,143.471,13177.95
2024.01.04 05:00:00,143.47,143.471,143.225,143.343,12263.68
2024.01.04 06:00:00,143.343,143.603,143.33,143.565,12038.53
2024.01.04 07:00:00,143.568,143.893,143.565,143.775,22041.83
2024.01.04 08:00:00,143.777,143.807,143.514,143.526,25450.03
2024.01.04 09:00:00,143.527,143.583,143.179,143.373,37073.39
2024.01.04 10:00:00,143.373,143.644,143.36,143.588,31505.63
2024.01.04 11:00:00,143.588,143.891,143.562,143.864,35497.82
2024.01.04 12:00:00,143.865,144.267,143.865,144.25,35224.83
2024.01.04 13:00:00,144.252,144.293,144.131,144.255,29156.77
2024.01.04 14:00:00,144.254,144.263,144.062,144.217,31697.78
2024.01.04 15:00:00,144.216,144.551,144.117,144.535,26324.48
2024.01.04 16:00:00,144.534,144.85,144.518,144.783,27091.9
2024.01.04 17:00:00,144.783,144.8,144.47,144.661,37176.38
2024.01.04 18:00:00,144.66,144.66,144.459,144.59,33625.68
2024.01.04 19:00:00,144.589,144.648,144.511,144.596,12697.62
2024.01.04 20:00:00,144.597,144.71,144.548,144.6,10573.82
2024.01.04 21:00:00,144.6,144.641,144.513,144.578,7083.1
2024.01.04 22:00:00,144.577,144.61,144.513,144.588,7323.8
2024.01.04 23:00:00,144.589,144.667,144.574,144.622,4105.81
2024.01.05 00:00:00,144.621,144.63,144.533,144.578,1574.61
2024.01.05 01:00:00,144.579,144.775,144.575,144.772,3658.48
2024.01.05 02:00:00,144.772,144.9,144.659,144.798,19370.91
2024.01.05 03:00:00,144.799,144.842,144.669,144.74,22807.05
2024.01.05 04:00:00,144.742,144.84,144.676,144.815,18943.23
2024.01.05 05:00:00,144.815,144.953,144.771,144.924,16817.11
2024.01.05 06:00:00,144.923,144.947,144.8,144.847,18318.91
2024.01.05 07:00:00,144.846,144.873,144.658,144.729,20223.13
2024.01.05 08:00:00,144.727,145.367,144.695,145.238,33534.11
2024.01.05 09:00:00,145.24,145.253,144.965,145.075,34993.59
2024.01.05 10:00:00,145.074,145.103,144.852,145.075,30715.99
2024.01.05 11:00:00,145.08,145.202,145.002,145.184,24540.74
2024.01.05 12:00:00,145.185,145.374,145.176,145.21,26021.59
2024.01.05 13:00:00,145.214,145.352,145.165,145.266,19142.41
2024.01.05 14:00:00,145.269,145.297,145.069,145.092,17060.03
2024.01.05 15:00:00,145.092,145.976,145.052,145.465,55950.08
2024.01.05 16:00:00,145.465,145.484,144.928,145.086,59490.74
2024.01.05 17:00:00,145.085,145.085,143.806,144.127,77497.32
2024.01.05 18:00:00,144.127,144.542,144.065,144.529,43842.53
2024.01.05 19:00:00,144.523,144.829,144.521,144.745,32811.56
2024.01.05 20:00:00,144.746,144.894,144.611,144.633,19244.33
2024.01.05 21:00:00,144.631,144.7,144.495,144.66,22317.62
2024.01.05 22:00:00,144.659,144.766,144.624,144.747,9434.89
2024.01.05 23:00:00,144.747,144.789,144.549,144.603,5298.68
2024.01.08 00:00:00,144.453,144.608,144.382,144.54,961.85
2024.01.08 01:00:00,144.54,144.917,144.528,144.721,8885.5
2024.01.08 02:00:00,144.721,144.797,144.586,144.594,12155.02
2024.01.08 03:00:00,144.595,144.664,144.318,144.373,24426.63
2024.01.08 04:00:00,144.374,144.562,144.374,144.524,11391.28
2024.01.08 05:00:00,144.521,144.553,144.312,144.488,13927.09
2024.01.08 06:00:00,144.488,144.538,144.393,144.462,14933.09
2024.01.08 07:00:00,144.467,144.478,144.361,144.365,12328.79
2024.01.08 08:00:00,144.363,144.368,144.169,144.18,17269.19
2024.01.08 09:00:00,144.18,144.468,144.089,144.415,33210.55
2024.01.08 10:00:00,144.415,144.611,144.377,144.521,44459.12
