Time (UTC),Open,High,Low,Close,Volume 
2024.01.19 00:00:00,148.122,148.142,147.938,148.028,19657.59
2024.01.19 01:00:00,148.027,148.392,148.005,148.351,21020.44
2024.01.19 02:00:00,148.355,148.473,148.144,148.254,18921.61
2024.01.19 03:00:00,148.254,148.294,148.188,148.222,11973.78
2024.01.19 04:00:00,148.222,148.368,148.217,148.357,8043.76
2024.01.19 05:00:00,148.359,148.672,148.352,148.648,15657.06
2024.01.19 06:00:00,148.647,148.802,148.563,148.584,12512.19
2024.01.19 07:00:00,148.585,148.609,148.192,148.269,21966.43
2024.01.19 08:00:00,148.269,148.353,148.049,148.077,13721.86
2024.01.19 09:00:00,148.076,148.137,147.923,147.979,31420.9
2024.01.19 10:00:00,147.98,148.02,147.838,147.947,25451.91
2024.01.19 11:00:00,147.947,148.12,147.925,147.977,15925.83
2024.01.19 12:00:00,147.976,148.185,147.959,148.157,18065.43
2024.01.19 13:00:00,148.156,148.211,147.96,148.134,35913.22
2024.01.19 14:00:00,148.135,148.449,148.074,148.296,34709.63
2024.01.19 15:00:00,148.288,148.532,148.091,148.1,47070.37
2024.01.19 16:00:00,148.099,148.246,148.05,148.209,33613.63
2024.01.19 17:00:00,148.208,148.228,148.022,148.12,19796.24
2024.01.19 18:00:00,148.12,148.309,148.119,148.245,17762.83
2024.01.19 19:00:00,148.244,148.259,148.137,148.189,13981.9
2024.01.19 20:00:00,148.189,148.2,148.126,148.151,8113.83
2024.01.19 21:00:00,148.151,148.175,148.04,148.04,6568.28
2024.01.21 22:00:00,148.207,148.249,148.001,148.2,1542.22
2024.01.21 23:00:00,148.202,148.259,148.081,148.123,6977.44
2024.01.22 00:00:00,148.124,148.23,148.008,148.087,18499.64
2024.01.22 01:00:00,148.087,148.104,147.776,147.858,25656.65
2024.01.22 02:00:00,147.86,147.97,147.73,147.747,19087.7
2024.01.22 03:00:00,147.748,147.951,147.74,147.916,19782.6
2024.01.22 04:00:00,147.917,147.938,147.832,147.839,14670.3
2024.01.22 05:00:00,147.838,148.122,147.83,148.053,16341.3
2024.01.22 06:00:00,148.052,148.114,147.977,148.083,23787.75
2024.01.22 07:00:00,148.082,148.131,147.915,148.036,32404.39
2024.01.22 08:00:00,148.035,148.302,147.999,148.241,37076.36
2024.01.22 09:00:00,148.242,148.274,148.053,148.11,24013.62
2024.01.22 10:00:00,148.112,148.143,147.977,148.017,20395.74
2024.01.22 11:00:00,148.018,148.026,147.855,147.884,18560.41
2024.01.22 12:00:00,147.887,147.912,147.707,147.786,23224.82
2024.01.22 13:00:00,147.786,147.893,147.615,147.685,37940.61
2024.01.22 14:00:00,147.686,147.954,147.685,147.846,37506.15
2024.01.22 15:00:00,147.845,147.932,147.729,147.845,20057.55
2024.01.22 16:00:00,147.845,148.014,147.844,147.955,23025.07
2024.01.22 17:00:00,147.953,148.037,147.904,147.983,14490.21
2024.01.22 18:00:00,147.983,148.144,147.982,148.089,12999.2
2024.01.22 19:00:00,148.09,148.134,148.003,148.031,13080.85
2024.01.22 20:00:00,148.03,148.123,148.015,148.044,13338.12
2024.01.22 21:00:00,148.044,148.147,148.033,148.083,4453.01
2024.01.22 22:00:00,148.082,148.108,147.917,147.968,3094.44
2024.01.22 23:00:00,147.977,148.149,147.967,148.145,4556.35
2024.01.23 00:00:00,148.144,148.222,148.056,148.117,9962.96
2024.01.23 01:00:00,148.114,148.163,148.066,148.1,13951.54
2024.01.23 02:00:00,148.1,148.271,148.075,148.224,21288.27
2024.01.23 03:00:00,148.221,148.548,147.851,147.891,25915.13
2024.01.23 04:00:00,147.892,148.206,147.857,147.944,15082.71
2024.01.23 05:00:00,147.944,148.069,147.859,147.922,10570.26
2024.01.23 06:00:00,147.921,148.171,146.975,147.124,26561.18
2024.01.23 07:00:00,147.125,147.776,147.034,147.582,28821.93
2024.01.23 08:00:00,147.583,147.666,147.252,147.347,16005.85
2024.01.23 09:00:00,147.348,147.733,147.336,147.71,24136.06
2024.01.23 10:00:00,147.711,147.925,147.711,147.839,27895.51
2024.01.23 11:00:00,147.838,148.155,147.759,148.025,26285.8
2024.01.23 12:00:00,148.027,148.14,147.874,147.985,23663.53
2024.01.23 13:00:00,147.988,148.07,147.878,148.051,27578.12
2024.01.23 14:00:00,148.053,148.372,148.049,148.333,35958.6
2024.01.23 15:00:00,148.333,148.541,148.222,148.48,32759.22
2024.01.23 16:00:00,148.483,148.593,148.358,148.551,16065.85
2024.01.23 17:00:00,148.552,148.694,148.509,148.595,12965.56
2024.01.23 18:00:00,148.595,148.619,148.445,148.521,13119.38
2024.01.23 19:00:00,148.521,148.565,148.295,148.378,14589.59
2024.01.23 20:00:00,148.376,148.411,148.331,148.354,7031.89
2024.01.23 21:00:00,148.354,148.395,148.293,148.293,4936.7
2024.01.23 22:00:00,148.303,148.378,148.274,148.374,2028.78
2024.01.23 23:00:00,148.377,148.391,148.209,148.248,4810.59
2024.01.24 00:00:00,148.235,148.26,148.044,148.109,21176.99
2024.01.24 01:00:00,148.112,148.178,147.974,148.017,22411.91
2024.01.24 02:00:00,148.018,148.253,148.011,148.103,14316.94
2024.01.24 03:00:00,148.102,148.144,147.75,147.802,14284.13
2024.01.24 04:00:00,147.802,147.922,147.767,147.88,10129.73
2024.01.24 05:00:00,147.881,148.012,147.812,147.873,9779.92
2024.01.24 06:00:00,147.873,147.956,147.823,147.865,11012.1
2024.01.24 07:00:00,147.864,147.91,147.7,147.793,18070.73
2024.01.24 08:00:00,147.793,147.793,147.449,147.563,19993.95
2024.01.24 09:00:00,147.565,147.624,147.376,147.53,28514.55
2024.01.24 10:00:00,147.53,147.624,147.465,147.484,19556.69
2024.01.24 11:00:00,147.48,147.594,147.44,147.515,15470.66
2024.01.24 12:00:00,147.514,147.519,147.205,147.296,23316.77
2024.01.24 13:00:00,147.294,147.302,146.719,146.762,52904.3
2024.01.24 14:00:00,146.767,147.278,146.648,147.072,46625.14
2024.01.24 15:00:00,147.073,147.217,146.755,146.942,45423.25
2024.01.24 16:00:00,146.942,147.432,146.883,147.308,37865.11
2024.01.24 17:00:00,147.309,147.323,147.121,147.188,19618.48
2024.01.24 18:00:00,147.19,147.492,147.157,147.477,20474.6
2024.01.24 19:00:00,147.478,147.594,147.454,147.562,12285.28
2024.01.24 20:00:00,147.561,147.624,147.509,147.609,7973.86
2024.01.24 21:00:00,147.612,147.638,147.479,147.494,5308.92
2024.01.24 22:00:00,147.493,147.496,147.385,147.434,2893.99
2024.01.24 23:00:00,147.443,147.622,147.431,147.586,6172.12
