Start,Length,0,0.382,0.618,1,1.618,2.618,4.236,Total_Overlaps,loc_0,loc_0.382,loc_0.618,loc_1,loc_1.618,loc_2.618,loc_4.236
3,45,1,0,1,1,0,0,0,3,3,20.19,30.81,48,75.81,120.80999999999999,193.61999999999998
3,50,1,0,0,1,1,0,0,3,3,22.1,33.9,53,83.9,133.9,214.79999999999998
3,81,1,0,1,1,0,0,0,3,3,33.942,53.058,84,134.05800000000002,215.058,346.116
6,35,1,0,1,1,1,0,1,5,6,19.37,27.63,41,62.63,97.63,154.26
6,50,1,0,1,1,0,0,0,3,6,25.1,36.9,56,86.9,136.9,217.79999999999998
18,86,1,0,1,1,0,0,0,3,18,50.852000000000004,71.148,104,157.148,243.148,382.296
28,81,1,0,0,1,1,0,0,3,28,58.942,78.05799999999999,109,159.05800000000002,240.058,371.116
31,86,1,0,1,1,0,0,1,4,31,63.852000000000004,84.148,117,170.148,256.148,395.296
41,34,1,0,0,1,1,1,0,4,41,53.988,62.012,75,96.012,130.012,185.024
41,55,1,0,1,1,1,0,0,4,41,62.010000000000005,74.99000000000001,96,129.99,184.98999999999998,273.98
47,84,1,0,0,1,1,1,1,5,47,79.088,98.912,131,182.912,266.912,402.82399999999996
47,88,1,0,0,1,0,1,0,3,47,80.616,101.384,135,189.38400000000001,277.384,419.768
48,99,1,0,1,1,0,1,0,4,48,85.818,109.182,147,208.18200000000002,307.182,467.364
56,86,1,0,1,1,0,1,0,4,56,88.852,109.148,142,195.148,281.148,420.296
63,75,1,0,1,1,0,1,0,4,63,91.65,109.35,138,184.35000000000002,259.35,380.7
63,96,1,0,1,1,0,1,0,4,63,99.672,122.328,159,218.328,314.328,469.65599999999995
71,54,1,0,1,1,0,0,0,3,71,91.628,104.372,125,158.372,212.37199999999999,299.744
71,75,1,0,1,1,0,1,0,4,71,99.65,117.35,146,192.35000000000002,267.35,388.7
71,88,1,0,1,1,0,0,0,3,71,104.616,125.384,159,213.38400000000001,301.384,443.768
75,34,1,0,1,1,1,0,0,4,75,87.988,96.012,109,130.012,164.012,219.024
75,50,1,0,0,1,0,1,0,3,75,94.1,105.9,125,155.9,205.9,286.79999999999995
75,96,1,0,0,1,1,0,1,4,75,111.672,134.328,171,230.328,326.328,481.65599999999995
84,54,1,0,1,1,1,1,0,5,84,104.628,117.372,138,171.372,225.37199999999999,312.744
84,75,1,0,1,1,0,1,0,4,84,112.65,130.35,159,205.35000000000002,280.35,401.7
104,50,1,0,1,1,0,0,0,3,104,123.1,134.9,154,184.9,234.9,315.79999999999995
104,75,1,0,0,1,1,0,0,3,104,132.65,150.35,179,225.35000000000002,300.35,421.7
104,79,1,0,1,1,0,0,0,3,104,134.178,152.822,183,231.822,310.822,438.644
109,50,1,0,0,1,1,0,0,3,109,128.1,139.9,159,189.9,239.9,320.79999999999995
109,81,1,0,1,1,0,0,0,3,109,139.942,159.058,190,240.05800000000002,321.058,452.116
117,61,1,0,0,1,0,1,0,3,117,140.302,154.698,178,215.698,276.698,375.39599999999996
122,92,1,0,1,1,0,1,0,4,122,157.144,178.856,214,270.856,362.856,511.712
125,65,1,0,0,1,1,0,0,3,125,149.83,165.17000000000002,190,230.17000000000002,295.16999999999996,400.34
125,81,1,0,0,1,0,1,0,3,125,155.942,175.058,206,256.058,337.058,468.116
131,65,1,0,1,1,0,0,0,3,131,155.83,171.17000000000002,196,236.17000000000002,301.16999999999996,406.34
135,61,1,0,0,1,1,0,0,3,135,158.302,172.698,196,233.698,294.698,393.39599999999996
135,99,1,0,1,1,0,0,0,3,135,172.81799999999998,196.18200000000002,234,295.182,394.182,554.364
138,88,1,0,0,1,1,0,0,3,138,171.61599999999999,192.38400000000001,226,280.384,368.384,510.768
138,92,1,0,0,1,0,1,0,3,138,173.144,194.856,230,286.856,378.856,527.712
142,88,1,0,1,1,0,1,1,5,142,175.61599999999999,196.38400000000001,230,284.384,372.384,514.768
142,92,1,0,0,1,0,1,0,3,142,177.144,198.856,234,290.856,382.856,531.712
146,50,1,0,0,1,0,1,1,4,146,165.1,176.9,196,226.9,276.9,357.79999999999995
146,92,1,0,0,1,0,1,0,3,146,181.144,202.856,238,294.856,386.856,535.712
147,79,1,0,1,1,0,0,1,4,147,177.178,195.822,226,274.822,353.822,481.644
154,88,1,0,0,1,1,0,0,3,154,187.61599999999999,208.38400000000001,242,296.384,384.384,526.768
159,34,1,0,0,1,1,0,0,3,159,171.988,180.012,193,214.012,248.012,303.024
159,55,1,0,1,1,0,0,0,3,159,180.01,192.99,214,247.99,302.99,391.98
159,75,1,0,0,1,1,0,1,4,159,187.65,205.35,234,280.35,355.35,476.7
171,35,1,0,1,1,0,0,0,3,171,184.37,192.63,206,227.63,262.63,319.26
171,84,1,0,0,1,1,0,0,3,171,203.088,222.912,255,306.91200000000003,390.912,526.824
171,88,1,0,1,1,0,0,0,3,171,204.61599999999999,225.38400000000001,259,313.384,401.384,543.768
171,96,1,0,1,1,0,0,1,4,171,207.672,230.328,267,326.328,422.328,577.656
179,55,1,0,0,1,0,1,0,3,179,200.01,212.99,234,267.99,322.99,411.98
183,84,1,0,0,1,0,1,0,3,183,215.088,234.912,267,318.91200000000003,402.912,538.824
186,45,1,0,1,1,1,1,0,5,186,203.19,213.81,231,258.81,303.81,376.62
190,35,1,0,0,1,1,0,0,3,190,203.37,211.63,225,246.63,281.63,338.26
190,65,1,0,1,1,0,0,0,3,190,214.83,230.17000000000002,255,295.17,360.16999999999996,465.34
193,88,1,0,1,1,0,1,1,5,193,226.61599999999999,247.38400000000001,281,335.384,423.384,565.768
196,84,1,0,0,1,1,0,0,3,196,228.088,247.912,280,331.91200000000003,415.912,551.824
202,45,1,0,1,1,0,0,0,3,202,219.19,229.81,247,274.81,319.81,392.62
202,65,1,0,1,1,1,1,1,6,202,226.83,242.17000000000002,267,307.17,372.16999999999996,477.34
214,96,1,0,1,1,1,0,0,4,214,250.672,273.328,310,369.328,465.328,620.656
225,55,1,0,1,1,1,1,0,5,225,246.01,258.99,280,313.99,368.99,457.98
226,84,1,0,0,1,0,1,0,3,226,258.088,277.912,310,361.91200000000003,445.912,581.824
226,88,1,0,1,1,0,0,0,3,226,259.616,280.384,314,368.384,456.384,598.768
231,65,1,0,0,1,1,0,0,3,231,255.83,271.17,296,336.17,401.16999999999996,506.34
231,79,1,0,1,1,0,0,1,4,231,261.178,279.822,310,358.822,437.822,565.644
234,89,1,0,1,1,1,0,0,4,234,267.998,289.002,323,378.002,467.00199999999995,611.0039999999999
242,54,1,0,0,1,0,1,1,4,242,262.628,275.372,296,329.372,383.37199999999996,470.744
247,34,1,0,0,1,0,1,0,3,247,259.988,268.012,281,302.012,336.012,391.024
249,61,1,0,0,1,1,0,1,4,249,272.302,286.698,310,347.698,408.698,507.39599999999996
249,65,1,0,1,1,0,0,0,3,249,273.83,289.17,314,354.17,419.16999999999996,524.3399999999999
249,99,1,0,1,1,0,0,0,3,249,286.818,310.182,348,409.182,508.182,668.364
255,34,1,0,0,1,1,1,1,5,255,267.988,276.012,289,310.012,344.012,399.024
255,55,1,0,1,1,1,1,0,5,255,276.01,288.99,310,343.99,398.99,487.98
259,45,1,0,0,1,1,0,0,3,259,276.19,286.81,304,331.81,376.81,449.62
259,89,1,0,1,1,1,0,0,4,259,292.998,314.002,348,403.002,492.00199999999995,636.0039999999999
267,65,1,0,1,1,1,0,0,4,267,291.83,307.17,332,372.17,437.16999999999996,542.3399999999999
273,50,1,0,1,1,0,0,0,3,273,292.1,303.9,323,353.9,403.9,484.79999999999995
280,34,1,0,0,1,0,1,0,3,280,292.988,301.012,314,335.012,369.012,424.024
280,84,1,0,1,1,0,0,0,3,280,312.088,331.912,364,415.91200000000003,499.912,635.824
280,92,1,0,1,1,1,1,0,5,280,315.144,336.856,372,428.856,520.856,669.712
280,99,1,0,0,1,1,0,1,4,280,317.818,341.182,379,440.182,539.182,699.364
281,88,1,0,0,1,1,0,0,3,281,314.616,335.384,369,423.384,511.384,653.768
289,34,1,0,1,1,1,1,0,5,289,301.988,310.012,323,344.012,378.012,433.024
304,54,1,0,1,1,0,0,0,3,304,324.628,337.372,358,391.372,445.37199999999996,532.744
304,65,1,0,1,1,0,0,1,4,304,328.83,344.17,369,409.17,474.16999999999996,579.3399999999999
304,99,1,0,0,1,1,1,0,4,304,341.818,365.182,403,464.182,563.182,723.364
307,92,1,0,1,1,0,0,0,3,307,342.144,363.856,399,455.856,547.856,696.712
314,34,1,0,0,1,1,1,0,4,314,326.988,335.012,348,369.012,403.012,458.024
314,50,1,0,0,1,1,0,0,3,314,333.1,344.9,364,394.9,444.9,525.8
314,55,1,0,1,1,1,0,0,4,314,335.01,347.99,369,402.99,457.99,546.98
314,81,1,0,1,1,0,0,0,3,314,344.942,364.058,395,445.058,526.058,657.116
337,35,1,0,0,1,0,1,0,3,337,350.37,358.63,372,393.63,428.63,485.26
344,34,1,0,0,1,1,0,0,3,344,356.988,365.012,378,399.012,433.012,488.024
344,35,1,0,0,1,0,1,0,3,344,357.37,365.63,379,400.63,435.63,492.26
344,55,1,0,1,1,0,0,0,3,344,365.01,377.99,399,432.99,487.99,576.98
344,96,1,0,1,1,0,0,1,4,344,380.672,403.328,440,499.328,595.328,750.656
348,35,1,0,0,1,0,1,1,4,348,361.37,369.63,383,404.63,439.63,496.26
348,88,1,0,0,1,1,1,0,4,348,381.616,402.384,436,490.384,578.384,720.768
358,84,1,0,0,1,1,1,0,4,358,390.088,409.912,442,493.91200000000003,577.912,713.824
358,88,1,0,0,1,0,1,0,3,358,391.616,412.384,446,500.384,588.384,730.768
363,79,1,0,0,1,0,1,0,3,363,393.178,411.822,442,490.822,569.822,697.644
364,96,1,0,1,1,0,0,1,4,364,400.672,423.328,460,519.328,615.328,770.656
372,45,1,0,0,1,0,1,1,4,372,389.19,399.81,417,444.81,489.81,562.62
372,92,1,0,1,1,1,0,0,4,372,407.144,428.856,464,520.856,612.856,761.712
378,99,1,0,0,1,1,0,0,3,378,415.818,439.182,477,538.182,637.182,797.364
379,50,1,0,0,1,1,0,1,4,379,398.1,409.9,429,459.9,509.9,590.8
379,61,1,0,1,1,0,0,0,3,379,402.302,416.698,440,477.698,538.698,637.396
379,81,1,0,1,1,0,1,0,4,379,409.942,429.058,460,510.058,591.058,722.116
379,92,1,0,1,1,0,1,1,5,379,414.144,435.856,471,527.856,619.856,768.712
383,65,1,0,1,1,0,1,1,5,383,407.83,423.17,448,488.17,553.17,658.3399999999999
387,61,1,0,0,1,1,0,0,3,387,410.302,424.698,448,485.698,546.698,645.396
387,84,1,0,0,1,1,0,0,3,387,419.088,438.912,471,522.912,606.912,742.824
387,99,1,0,1,1,0,0,0,3,387,424.818,448.182,486,547.182,646.182,806.364
395,45,1,0,1,1,0,1,0,4,395,412.19,422.81,440,467.81,512.81,585.62
399,61,1,0,0,1,0,1,0,3,399,422.302,436.698,460,497.698,558.698,657.396
403,45,1,0,0,1,0,1,0,3,403,420.19,430.81,448,475.81,520.81,593.62
403,61,1,0,0,1,1,1,1,5,403,426.302,440.698,464,501.698,562.698,661.396
403,99,1,0,1,1,1,0,0,4,403,440.818,464.182,502,563.182,662.182,822.364
417,79,1,0,0,1,1,0,0,3,417,447.178,465.822,496,544.822,623.822,751.644
423,84,1,0,0,1,1,1,0,4,423,455.088,474.912,507,558.912,642.912,778.824
423,92,1,0,0,1,0,1,0,3,423,458.144,479.856,515,571.856,663.856,812.712
429,86,1,0,1,1,0,0,0,3,429,461.852,482.148,515,568.148,654.148,793.296
436,54,1,0,0,1,1,0,0,3,436,456.628,469.372,490,523.372,577.372,664.744
436,79,1,0,0,1,0,1,1,4,436,466.178,484.822,515,563.822,642.822,770.644
440,50,1,0,1,1,1,0,0,4,440,459.1,470.9,490,520.9,570.9,651.8
440,75,1,0,1,1,0,0,1,4,440,468.65,486.35,515,561.35,636.35,757.7
442,35,1,0,1,1,0,0,0,3,442,455.37,463.63,477,498.63,533.63,590.26
442,65,1,0,1,1,0,0,0,3,442,466.83,482.17,507,547.17,612.17,717.3399999999999
442,79,1,0,0,1,1,0,0,3,442,472.178,490.822,521,569.822,648.822,776.644
442,88,1,0,1,1,0,0,0,3,442,475.616,496.384,530,584.384,672.384,814.768
442,96,1,0,0,1,0,1,1,4,442,478.672,501.328,538,597.328,693.328,848.656
446,50,1,0,1,1,0,0,1,4,446,465.1,476.9,496,526.9,576.9,657.8
446,61,1,0,0,1,1,0,0,3,446,469.302,483.698,507,544.698,605.698,704.396
446,99,1,0,1,1,0,0,1,4,446,483.818,507.182,545,606.182,705.182,865.364
448,65,1,0,0,1,1,0,0,3,448,472.83,488.17,513,553.17,618.17,723.3399999999999
460,34,1,0,0,1,1,0,0,3,460,472.988,481.012,494,515.012,549.012,604.024
460,55,1,0,1,1,0,0,1,4,460,481.01,493.99,515,548.99,603.99,692.98
460,61,1,0,0,1,1,1,0,4,460,483.302,497.698,521,558.698,619.698,718.396
460,99,1,0,1,1,1,1,0,5,460,497.818,521.182,559,620.182,719.182,879.364
471,92,1,0,0,1,1,0,0,3,471,506.144,527.856,563,619.856,711.856,860.712
477,61,1,0,1,1,0,0,1,4,477,500.302,514.698,538,575.698,636.698,735.396
477,86,1,0,1,1,0,0,0,3,477,509.852,530.148,563,616.148,702.148,841.296
486,35,1,0,0,1,0,1,1,4,486,499.37,507.63,521,542.63,577.63,634.26
486,84,1,0,1,1,0,0,0,3,486,518.088,537.912,570,621.912,705.912,841.824
486,89,1,0,0,1,0,1,0,3,486,519.998,541.002,575,630.002,719.002,863.0039999999999
490,55,1,0,0,1,1,1,0,4,490,511.01,523.99,545,578.99,633.99,722.98
490,88,1,0,0,1,1,0,0,3,490,523.616,544.384,578,632.384,720.384,862.768
490,89,1,0,1,1,1,0,1,5,490,523.998,545.002,579,634.002,723.002,867.0039999999999
494,65,1,0,0,1,0,1,1,4,494,518.83,534.17,559,599.17,664.17,769.3399999999999
496,79,1,0,1,1,0,1,0,4,496,526.178,544.822,575,623.822,702.822,830.644
496,92,1,0,1,1,0,0,0,3,496,531.144,552.856,588,644.856,736.856,885.712
